,lens_mass,zS,zL,source_ra,source_dec,lens_ra,lens_dec,thetaE
0,10000000.0,2.0,0.5,0,0.1,0,0,3.101819499863931e-08
1,10000000.0,2.0,0.5,0,0.5,0,0,3.101819499863931e-08
2,10000000.0,2.0,0.5,0,1.3,0,0,3.101819499863931e-08
3,100000000.0,2.0,0.5,0,0.1,0,0,9.808814510294364e-08
4,100000000.0,2.0,0.5,0,0.5,0,0,9.808814510294364e-08
5,100000000.0,2.0,0.5,0,1.3,0,0,9.808814510294364e-08
6,1000000000.0,2.0,0.5,0,0.1,0,0,3.1018194998639307e-07
7,1000000000.0,2.0,0.5,0,0.5,0,0,3.1018194998639307e-07
8,1000000000.0,2.0,0.5,0,1.3,0,0,3.1018194998639307e-07
9,10000000000.0,2.0,0.5,0,0.1,0,0,9.808814510294362e-07
10,10000000000.0,2.0,0.5,0,0.5,0,0,9.808814510294362e-07
11,10000000000.0,2.0,0.5,0,1.3,0,0,9.808814510294362e-07
12,100000000000.0,2.0,0.5,0,0.1,0,0,3.1018194998639306e-06
13,100000000000.0,2.0,0.5,0,0.5,0,0,3.1018194998639306e-06
14,100000000000.0,2.0,0.5,0,1.3,0,0,3.1018194998639306e-06
15,1000000000000.0,2.0,0.5,0,0.1,0,0,9.808814510294364e-06
16,1000000000000.0,2.0,0.5,0,0.5,0,0,9.808814510294364e-06
17,1000000000000.0,2.0,0.5,0,1.3,0,0,9.808814510294364e-06
