,lens_mass,zS,zL,source_ra,source_dec,lens_ra,lens_dec,thetaE,img0_ra,img1_ra,img2_ra,img3_ra,img0_dec,img1_dec,img2_dec,img3_dec,td0,td1,td2,td3,mag0,mag1,mag2,mag3,morse0,morse1,morse2,morse3
0,10000000.0,2.0,0.5,0,0.1,0,0,3.1018194998639314e-08,-2.419230e-20,-9.088288e-25,,,-2.690222e-08,-2.229741e-11,,,0.0,106.46697557,,,-4.07957651,5.81842744e-05,,,0.5,1.0,,
1,10000000.0,2.0,0.5,0,0.5,0,0,3.1018194998639314e-08,1.323408e-23,1.323408e-23,-1.109996e-24,,-1.439459e-08,4.556053e-08,-1.505261e-10,,285.87437195290767,0.0,313.9046765269296,,-0.7679862264143197,3.8062542194641704,0.00010814643190135208,,0.5,0,1,
2,10000000.0,2.0,0.5,0,1.3,0,0,3.1018194998639314e-08,1.323408e-23,,,,7.039923e-08,,,,0.0,,,,1.914101406935206,,,,0,,,
3,100000000.0,2.0,0.5,0,0.1,0,0,9.808814510294365e-08,-2.649886e-23,-2.649886e-23,-1.013810e-24,,-8.532300e-08,1.049623e-07,-2.218605e-11,,573.31432157,0.0,1673.08069618,,-4.07936972,-79.1966698,5.75940391e-06,,0.5,0.5,1.0,
4,100000000.0,2.0,0.5,0,0.5,0,0,9.808814510294365e-08,-2.649886e-23,-2.649886e-23,,,-4.598892e-08,1.442231e-07,,,2866.2499732986776,0.0,,,-0.7677820556876445,3.8062881766588523,,,0.5,0,,
5,100000000.0,2.0,0.5,0,1.3,0,0,9.808814510294365e-08,-2.649886e-23,,,,2.227177e-07,,,,0.0,,,,1.9141049115705169,,,,0,,,
6,1000000000.0,2.0,0.5,0,0.1,0,0,3.101819499863931e-07,8.098106e-22,-3.363058e-24,,,-2.700651e-07,-2.215107e-11,,,0.0,11132.53267722,,,-4.07934916,5.74092515e-07,,,0.5,1.0,,
7,1000000000.0,2.0,0.5,0,0.5,0,0,3.101819499863931e-07,-2.646913e-22,8.111146e-22,,,4.562215e-07,-1.458940e-07,,,0.0,28686.152812069715,,,3.8062915709983822,-0.7677623683636934,,,0,0.5,,
8,1000000000.0,2.0,0.5,0,1.3,0,0,3.101819499863931e-07,-2.646913e-22,,,,7.043911e-07,,,,0.0,,,,1.9141052621130399,,,,0,,,
9,10000000000.0,2.0,0.5,0,0.1,0,0,9.808814510294362e-07,-3.402942e-21,,,,-8.542709e-07,,,,0,,,,-4.07934711,,,,0.5,,,
10,10000000000.0,2.0,0.5,0,0.5,0,0,9.808814510294362e-07,-3.401949e-21,-3.401949e-21,,,-4.618201e-07,1.442847e-06,,,286936.24303791515,0.0,,,-0.7677604216648215,3.806291910371516,,,0.5,0,,
11,10000000000.0,2.0,0.5,0,1.3,0,0,9.808814510294362e-07,4.826517e-26,,,,2.227576e-06,,,,0.0,,,,1.9141052971684103,,,,0,,,
12,100000000000.0,2.0,0.5,0,0.1,0,0,3.10181949986393e-06,-1.033342e-20,,,,-2.701692e-06,,,,0.0,,,,-4.0793469,,,,0.5,,,
13,100000000000.0,2.0,0.5,0,0.5,0,0,3.10181949986393e-06,-1.033454e-20,4.235229e-22,,,4.562831e-06,-1.460866e-06,,,0.0,2869598.617344594,,,3.806291944338727,-0.7677602276840999,,,0,0.5,,
14,100000000000.0,2.0,0.5,0,1.3,0,0,3.10181949986393e-06,4.235229e-22,,,,7.044310e-06,,,,0.0,,,,1.9141053006673134,,,,0,,,
15,1000000000000.0,2.0,0.5,0,0.1,0,0,9.808814510294364e-06,-1.686938e-21,,,,-8.543749e-06,,,,0.0,,,,-4.07934688,,,,0.5,,,
16,1000000000000.0,2.0,0.5,0,0.5,0,0,9.808814510294364e-06,-1.694274e-21,-1.694274e-21,,,-4.620125e-06,1.442909e-05,,,28696732.97996848,0.0,,,-0.767760208319436,3.8062919477257613,,,0.5,0,,
17,1000000000000.0,2.0,0.5,0,1.3,0,0,9.808814510294364e-06,,,,,,,,,,,,,,,,,,,,
